generated_at,window_start,horizon,prediction,threat_probability,trend,potential_stage,forecast_mode,probability_BENIGN,probability_DoS GoldenEye,probability_DoS Hulk,probability_DoS Slowhttptest,probability_DoS slowloris,probability_Heartbleed
2026-09-06T05:00:26,2026-09-06T05:02:00,2,BENIGN,0.043526558725503595,STABLE,,momentum,0.9564734412744964,0.0,0.00625,0.006152243032920245,0.031124315692583348,0.0
2026-09-06T05:00:26,2026-09-06T05:03:00,3,BENIGN,0.043526558725503595,STABLE,,momentum,0.9564734412744964,0.0,0.00625,0.006152243032920245,0.031124315692583348,0.0
2026-09-06T05:00:26,2026-09-06T05:04:00,4,BENIGN,0.043526558725503595,STABLE,,momentum,0.9564734412744964,0.0,0.00625,0.006152243032920245,0.031124315692583348,0.0
2026-09-06T05:00:26,2026-09-06T05:05:00,5,BENIGN,0.043526558725503595,STABLE,,momentum,0.9564734412744964,0.0,0.00625,0.006152243032920245,0.031124315692583348,0.0
2026-09-06T05:15:14,2026-09-06T05:14:00,1,BENIGN,0.0884193961554598,STABLE,,momentum,0.9115806038445402,0.00022248740643410602,0.003582877431986297,0.06186147254490692,0.022752558772132416,0.0
2026-09-06T05:15:14,2026-09-06T05:15:00,2,BENIGN,0.0884193961554598,STABLE,,momentum,0.9115806038445402,0.00022248740643410602,0.003582877431986297,0.06186147254490692,0.022752558772132416,0.0
2026-09-06T05:15:14,2026-09-06T05:16:00,3,BENIGN,0.0884193961554598,STABLE,,momentum,0.9115806038445402,0.00022248740643410602,0.003582877431986297,0.06186147254490692,0.022752558772132416,0.0
2026-09-06T05:15:14,2026-09-06T05:17:00,4,BENIGN,0.0884193961554598,STABLE,,momentum,0.9115806038445402,0.00022248740643410602,0.003582877431986297,0.06186147254490692,0.022752558772132416,0.0
2026-09-06T05:15:14,2026-09-06T05:18:00,5,BENIGN,0.0884193961554598,STABLE,,momentum,0.9115806038445402,0.00022248740643410602,0.003582877431986297,0.06186147254490692,0.022752558772132416,0.0
2026-09-06T05:17:07,2026-09-06T05:15:00,1,BENIGN,0.08386447531689545,STABLE,,momentum,0.9161355246831046,1.1122266942028538e-05,0.00210199522168443,0.05809061455033557,0.023660743277933393,0.0
2026-09-06T05:17:07,2026-09-06T05:16:00,2,BENIGN,0.08439834369335053,STABLE,,momentum,0.9156016563066495,1.1122812186305116e-05,0.0022833256357460995,0.05855371141438278,0.023550183831035482,0.0
2026-09-06T05:17:07,2026-09-06T05:17:00,3,BENIGN,0.08471240836657279,STABLE,,momentum,0.9152875916334272,1.1123132943205323e-05,0.0023899988903330325,0.05882614254477285,0.023485143798523782,0.0
2026-09-06T05:17:07,2026-09-06T05:18:00,4,BENIGN,0.08491924133627904,STABLE,,momentum,0.915080758663721,1.1123344183462125e-05,0.002460250491088038,0.059005556991997755,0.023442310509009957,0.0
2026-09-06T05:17:07,2026-09-06T05:19:00,5,BENIGN,0.08506575277634776,STABLE,,momentum,0.9149342472236522,1.1123493816831832e-05,0.002510013656062875,0.05913264634854151,0.023411969277926475,0.0
2026-09-06T05:34:38,2026-09-06T05:35:00,1,BENIGN,0.043526558725503595,STABLE,,momentum,0.9564734412744964,0.0,0.00625,0.006152243032920245,0.031124315692583348,0.0
2026-09-06T05:34:38,2026-09-06T05:36:00,2,BENIGN,0.043526558725503595,STABLE,,momentum,0.9564734412744964,0.0,0.00625,0.006152243032920245,0.031124315692583348,0.0
2026-09-06T05:34:38,2026-09-06T05:37:00,3,BENIGN,0.043526558725503595,STABLE,,momentum,0.9564734412744964,0.0,0.00625,0.006152243032920245,0.031124315692583348,0.0
2026-09-06T05:34:38,2026-09-06T05:38:00,4,BENIGN,0.043526558725503595,STABLE,,momentum,0.9564734412744964,0.0,0.00625,0.006152243032920245,0.031124315692583348,0.0
2026-09-06T05:34:38,2026-09-06T05:39:00,5,BENIGN,0.043526558725503595,STABLE,,momentum,0.9564734412744964,0.0,0.00625,0.006152243032920245,0.031124315692583348,0.0
2026-09-06T05:34:48,2026-09-06T05:35:00,1,BENIGN,0.018624315692583382,STABLE,,momentum,0.9813756843074166,0.0,0.0,0.0,0.018624315692583347,0.0
2026-09-06T05:34:48,2026-09-06T05:36:00,2,BENIGN,0.018624315692583382,STABLE,,momentum,0.9813756843074166,0.0,0.0,0.0,0.018624315692583347,0.0
2026-09-06T05:34:48,2026-09-06T05:37:00,3,BENIGN,0.018624315692583382,STABLE,,momentum,0.9813756843074166,0.0,0.0,0.0,0.018624315692583347,0.0
2026-09-06T05:34:48,2026-09-06T05:38:00,4,BENIGN,0.018624315692583382,STABLE,,momentum,0.9813756843074166,0.0,0.0,0.0,0.018624315692583347,0.0
2026-09-06T05:34:48,2026-09-06T05:39:00,5,BENIGN,0.018624315692583382,STABLE,,momentum,0.9813756843074166,0.0,0.0,0.0,0.018624315692583347,0.0
2026-09-06T05:43:22,2026-09-06T05:44:00,1,BENIGN,0.19341465472220043,STABLE,,momentum,0.8065853452777996,0.0,0.0,0.18097758238459188,0.012437072337608594,0.0
2026-09-06T05:43:22,2026-09-06T05:45:00,2,BENIGN,0.19341465472220043,STABLE,,momentum,0.8065853452777996,0.0,0.0,0.18097758238459188,0.012437072337608594,0.0
2026-09-06T05:43:22,2026-09-06T05:46:00,3,BENIGN,0.19341465472220043,STABLE,,momentum,0.8065853452777996,0.0,0.0,0.18097758238459188,0.012437072337608594,0.0
2026-09-06T05:43:22,2026-09-06T05:47:00,4,BENIGN,0.19341465472220043,STABLE,,momentum,0.8065853452777996,0.0,0.0,0.18097758238459188,0.012437072337608594,0.0
2026-09-06T05:43:22,2026-09-06T05:48:00,5,BENIGN,0.19341465472220043,STABLE,,momentum,0.8065853452777996,0.0,0.0,0.18097758238459188,0.012437072337608594,0.0
